Filename, /nodc/web/data.nodc/htdocs/nodc/archive/metadata/approved/iso/NDBC-CMANWx.xml
Master Score, 91
Run Date, 2017-06-02 19:31:34.847976


Element, Rule, Exists, Scored, Rationale, Text, Descent Text, XPath
"featureCatalogIncluded","Required","False","True","['no element at given xpath', 'features subcategory scored because passed special logic parser']","None","None","//gmd:contentInfo/gmd:MD_FeatureCatalogueDescription/gmd:includedWithDataset"
"coverageDimension","Not Required","False","False","['no element at given xpath', 'attributes subcategory not scored because failed special logic parser (features elements scored) - now extra credit']","None","None","//gmd:contentInfo//gmd:dimension"
"themeKeywords","Required","True","True","[]","None","AIR TEMPERATURE || BAROMETRIC PRESSURE || CONDUCTIVITY || CURRENT DIRECTION || CURRENT SPEED || CURRENT SPEED - EAST/WEST COMPONENT (U) || CURRENT SPEED - NORTH/SOUTH COMPONENT (V) || CURRENT SPEED - UP/DOWN COMPONENT (W) || DEPTH - OBSERVATION || DEPTH - SENSOR || DEWPOINT || DIRECTIONAL WAVE SPECTRA || HYDROSTATIC PRESSURE || INCOMING SOLAR RADIATION || PHOTOSYNTHETIC ACTIVE RADIATION (PAR) || RELATIVE HUMIDITY || SALINITY || SEA SURFACE TEMPERATURE || VISIBILITY || WATER TEMPERATURE || WAVE DATA || WAVE DIRECTION || WAVE HEIGHT - MAXIMUM || WAVE HEIGHT - SIGNIFICANT || WAVE PERIOD - AVERAGE || WAVE PERIOD - DOMINANT || WAVE SPECTRA || WIND DIRECTION || WIND DIRECTION - CONTINUOUS || WIND GUST || WIND SPEED || current measurements || meteorological || physical || time series || oceanography || weatherObservations || EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC PRESSURE || EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC RADIATION > INCOMING SOLAR RADIATION || EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE || EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > DEW POINT TEMPERATURE || EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WATER VAPOR > HUMIDITY || EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > SURFACE WINDS || EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > SURFACE WINDS > WIND SPEED/WIND DIRECTION || EARTH SCIENCE > OCEANS > OCEAN CIRCULATION > OCEAN CURRENTS || EARTH SCIENCE > OCEANS > OCEAN OPTICS || EARTH SCIENCE > OCEANS > OCEAN OPTICS > PHOTOSYNTHETICALLY ACTIVE RADIATION || EARTH SCIENCE > OCEANS > OCEAN PRESSURE > WATER PRESSURE || EARTH SCIENCE > OCEANS > OCEAN TEMPERATURE > SEA SURFACE TEMPERATURE || EARTH SCIENCE > OCEANS > OCEAN TEMPERATURE > WATER TEMPERATURE || EARTH SCIENCE > OCEANS > OCEAN WAVES || EARTH SCIENCE > OCEANS > OCEAN WAVES > WAVE HEIGHT || EARTH SCIENCE > OCEANS > OCEAN WAVES > WAVE PERIOD || EARTH SCIENCE > OCEANS > OCEAN WAVES > WAVE SPECTRA || EARTH SCIENCE > OCEANS > OCEAN WAVES > WAVE SPEED/DIRECTION || EARTH SCIENCE > OCEANS > SALINITY/DENSITY > CONDUCTIVITY || EARTH SCIENCE > OCEANS > SALINITY/DENSITY > SALINITY || adcp_quality_flags || air_pressure || air_pressure_at_sea_level || air_temperature || depth || dew_point_temperature || direction_of_sea_water_velocity || downwelling_longwave_flux_in_air || downwelling_shortwave_flux_in_air || eastward_sea_water_velocity || first_normalized_polar_coordinate_of_the_Fourier_coefficients || latitude || longitude || northward_sea_water_velocity || principal_wave_direction_at_specified_frequency || relative_humidity || sea_surface_temperature || sea_surface_wave_frequency || sea_surface_wave_from_direction || sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment || sea_surface_wave_period_at_variance_spectral_density_maximum || sea_surface_wave_significant_height || sea_surface_wave_variance_spectral_density || sea_water_electrical_conductivity || sea_water_salinity || sea_water_speed || sea_water_temperature || time || upward_sea_water_velocity || wind_from_direction || wind_speed || wind_speed_of_gust","//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'theme']/gmd:keyword"
"distContact","Required","True","True","[]","None","DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce || 301-713-3277 || 301-713-3300 || Federal Building 151 Patton Avenue || Asheville || NC || 28801-5001 || USA || NCEI.Info@noaa.gov || pointOfContact","//gmd:MD_Distribution//gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty"
"reportDate","Not Required","True","False","[]","None","2017-03-24T00:00:00","//gmd:DQ_DataQuality/gmd:report//gmd:dateTime"
"placeKeywordThesaurus","Recommended","True","False","[]","None","NODC SEA AREA NAMES THESAURUS || Global Change Master Directory (GCMD) Location Keywords","//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'place']/gmd:thesaurusName/gmd:CI_Citation/gmd:title"
"creator","Recommended","True","False","[]","None","US DOC; NOAA; NWS; National Data Buoy Center (NDBC) || 1007 BALCH BOULEVARD || STENNIS SPACE CENTER || MS || 39529-6000 || USA || http://www.ndbc.noaa.gov/ || HTTP || Web browser || US DOC; NOAA; NWS; National Data Buoy Center (NDBC) website || Institution web page || information || resourceProvider","//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty[.//gmd:role/gmd:CI_RoleCode/@codeListValue[(.)= 'resourceProvider' or (.) = 'originator' or (.) = 'principalInvestigator' or (.) = 'author' or (.) = 'collaborator']]"
"evaluationProcedure","Not Required","True","False","[]","None","The Scientific Data Stewardship Maturity Assessment Model Template || 2015-06-23 || publication || NCDC-CICS-SMM_0001_Rev.1 v4.0 06/23/2015 || doi:10.10.6084/m9.figshare.1211954 || Peng, Ge || CICS-NC/NCEI || author || https://doi.org/10.6084/m9.figshare.1211954 || HTTPS || Web Browser || The Scientific Data Stewardship Maturity Assessment Model Template || Landing page for quality evaluation procedure. || information || documentDigital","//gmd:DQ_DataQuality/gmd:report//gmd:evaluationProcedure"
"result","Recommended","True","False","[]","None","optimal || optimal || intermediate || optimal || advanced || intermediate || intermediate || minimal || intermediate","//gmd:DQ_DataQuality/gmd:report//gmd:result"
"duration","Recommended","False","False","['no element at given xpath']","None","None","//gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:temporalElement//gmd:EX_TemporalExtent//gml:TimePeriod/gml:duration"
"processor","Required","True","False","['not scored because failed if logic parser', 'lineage subcategory not scored because failed special logic parser (aquisition elements scored) - now extra credit', 'not scored because failed special logic parser']","None","DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce || processor","//gmd:DQ_DataQuality/gmd:lineage/gmd:LI_Lineage//gmd:processor/gmd:CI_ResponsibleParty"
"distURLProtocol","Not Required","True","False","[]","None","HTTPS || HTTPS || HTTPS || THREDDS || DAP || HTTPS || FTP","//gmd:MD_Distribution//gmd:MD_DigitalTransferOptions/gmd:onLine/gmd:CI_OnlineResource/gmd:protocol"
"metadataMaintenanceNote","Recommended","True","False","[]","None","Metadata are developed, maintained and distributed by NCEI. Updates are performed as needed to maintain currentness.","/gmi:MI_Metadata/gmd:metadataMaintenance/gmd:MD_MaintenanceInformation/gmd:maintenanceNote"
"dataCenterKeyword","Recommended","True","False","[]","None","DOC/NOAA/NESDIS/NODC > National Oceanographic Data Center, NESDIS, NOAA, U.S. Department of Commerce || DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce || DOC/NOAA/NWS/NDBC > National Data Buoy Center, National Weather Service, NOAA, U.S. Department of Commerce || US DOC; NOAA; NWS; National Data Buoy Center || US DOC; NOAA; NWS; National Data Buoy Center","//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'dataCenter']/gmd:keyword"
"specification","Recommended","True","False","[]","None","NetCDF Climate and Forecast (CF) Metadata Convention || NODC file format description for meteorology, oceanography, and wave spectra data from buoys","//gmd:MD_Distribution//gmd:MD_Format/gmd:specification"
"distFormat","Required","True","True","[]","None","netCDF || F291","//gmd:MD_Distribution//gmd:MD_Format/gmd:name"
"scopeCode","Required","True","True","[]","series","None","//gmi:MI_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode/@codeListValue"
"useLimitation","Not Required","True","False","[]","otherRestrictions","None","//gmd:resourceConstraints/gmd:MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode/@codeListValue"
"distURL","Required","True","True","[]","None","https://www.nodc.noaa.gov/search/granule/rest/find/document?searchText=fileIdentifier%3ANDBC-CMANWx*&start=1&max=100&f=searchPage || https://www.nodc.noaa.gov/BUOY/ || https://data.nodc.noaa.gov/cgi-bin/iso?id=gov.noaa.nodc:NDBC-CMANWx || https://data.nodc.noaa.gov/thredds/catalog/ndbc/cmanwx/ || https://data.nodc.noaa.gov/opendap/ndbc/cmanwx/ || https://data.nodc.noaa.gov/ndbc/cmanwx/ || ftp://ftp.nodc.noaa.gov/pub/data.nodc/ndbc/cmanwx/","//gmd:MD_Distribution//gmd:MD_DigitalTransferOptions/gmd:onLine/gmd:CI_OnlineResource/gmd:linkage"
"largerWorkName","Recommended","False","False","['no element at given xpath']","None","None","//gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation[gmd:associationType/gmd:DS_AssociationTypeCode/@codeListValue = 'largerWorkCitation']/gmd:aggregateDataSetName/gmd:CI_Citation/gmd:title"
"publisher","Recommended","True","False","[]","None","DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce || 301-713-3277 || 301-713-3300 || Federal Building 151 Patton Avenue || Asheville || NC || 28801-5001 || USA || NODC.DataOfficer@noaa.gov || https://www.ncei.noaa.gov/ || HTTPS || Web browser || NOAA National Centers for Environmental Information website || Main NCEI website providing links to access data and data services. || information || publisher || DOC/NOAA/NESDIS/NODC > National Oceanographic Data Center, NESDIS, NOAA, U.S. Department of Commerce || 301-713-3277 || 301-713-3302 || 1315 East-West Highway, SSMC3, 4th floor || Silver Spring || MD || 20910-3282 || USA || NODC.DataOfficer@noaa.gov || https://www.nodc.noaa.gov/ || HTTPS || Web browser || NOAA National Centers for Environmental Information website || Website providing links to access data and data services. || information || publisher","//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty[.//gmd:role/gmd:CI_RoleCode/@codeListValue = 'publisher']"
"onlineResourceDesc","Conditional","True","True","[]","None","Main NCEI website providing links to access data and data services. || Main NCEI website providing links to access data and data services. || Website providing links to access data and data services. || Institution web page || Main NCEI website providing links to access data and data services. || Overview of the NASA GCMD Keywords. || Overview of the NASA GCMD Keywords. || Overview of the NASA GCMD Keywords. || Overview of the NASA GCMD Keywords. || Overview of the NASA GCMD Keywords. || Overview of the NASA GCMD Keywords. || "Handbook of Automated Data Quality Control Checks and Procedures, National Buoy Data Center". NDBC Technical Document 09-02 || Institution web page || Anctil, F., M.A. Donelan, G.Z. Forristal, K.E. Steele, Y. Ouellet. "Deep-water Field evaluation of the NDBC-SWADE 3-m discus directional buoy". Journal of Atmospheric and Oceanic Technology, vol. 10, pp.97-112, 1993. doi:10.1175/1520-0426(1993)010<0097:DWFEOT>2.0.CO;2 || Gilhousen, D.B., "An accuracy statement for meteorological measurements obtained from NDBC moored buoys". National Data Buoy Center. 1986. || Institution web page || Institution web page || Gilhousen, D.B., "A field evaluation of NDBC Moored Buoy Winds". Journal of Atmospheric and Oceanic Technology, vol.4, pp. 94-104, 1987. doi:10.1175/1520-0426(1987)004%3C0094:AFEONM%3E2.0.CO;2 || Institution web page || Gilhousen, D. B. "Field evaluation of NDBC directional wave data". Proceedings of the 2nd International Workshop on Wave Hindcasting and Forecasting, Vancouver, BC, issue 1-10, 1989. || Institution web page || Rex Hervey, "Are Moored Buoy Winds Too Low in High Seas?". Western Region Technical Attachment, No. 00-10, August 29, 2000. || Institution web page || K. Steele, Joseph Lau and Yuan-Huang Hsu, "Theory and application of calibration techniques for an NDBC directional wave measurements buoy," in IEEE Journal of Oceanic Engineering, vol. 10, no. 4, pp. 382-396, October 1985. doi:10.1109/JOE.1985.1145116 || Wilkerson, John C., and Marshall D. Earle. "A Study of Differences between Environmental Reports by Ships in the Voluntary Observing Program and Measurements from NOAA Buoys." J. Geophys. Res. Journal of Geophysical Research 95.C3 (1990): 3373-3385. doi:10.1029/JC095iC03p03373 || Documentation for National Data Buoy Center (NDBC) Coastal-Marine Automated Network (C-MAN) and moored (weather) buoy data archived at NODC (NODC Accession 0070493) || File format description || Search for data granules belonging to this collection (a granule is the smallest aggregation of data that can be independently described and retrieved). || Search for data by user-specified criteria and optionally download data. || Navigate directly to the URL for a descriptive web page with download links. || These data are available through a variety of services via a THREDDS (Thematic Real-time Environmental Distributed Data Services) Data Server (TDS). Depending on the dataset, the TDS can provide WMS, WCS, DAP, HTTP, and other data access and metadata services as well. For more information on the TDS, see http://www.unidata.ucar.edu/software/thredds/current/tds/. || These data are available through the Data Access Protocol (DAP) via an OPeNDAP Hyrax server. For a listing of OPeNDAP clients which may be used to access OPeNDAP-enabled data sets, please see the OPeNDAP website at http://opendap.org/. || Navigate directly to the URL for data access and direct download. || These data are available through the File Transfer Protocol (FTP). You may use any FTP client to download these data. || Landing page for quality evaluation procedure.","//gmd:CI_OnlineResource/gmd:description"
"fileIdentifier","Required","True","True","[]","None","gov.noaa.nodc:NDBC-CMANWx","/gmi:MI_Metadata/gmd:fileIdentifier"
"evaluationMethodDescription","Not Required","True","False","[]","None","Data Stewardship Maturity Assessment was evaluated by the metadata content editor for the NOAA OneStop project using the Scientific Data Stewardship Maturity Assessment Model Template v4.0.","//gmd:DQ_DataQuality/gmd:report//gmd:evaluationMethodDescription"
"projectKeywordThesaurus","Recommended","True","False","[]","None","Global Change Master Directory (GCMD) Project Keywords","//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'project']/gmd:thesaurusName/gmd:CI_Citation/gmd:title"
"pubYear","Recommended","True","False","[]","None","2006-03-16 || publication","//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date[.//gmd:dateType/gmd:CI_DateTypeCode/@codeListValue = 'publication' or .//gmd:dateType/gmd:CI_DateTypeCode/@codeListValue = 'creation']"
"lineageScope","Required","True","False","['not scored because failed if logic parser', 'lineage subcategory not scored because failed special logic parser (aquisition elements scored) - now extra credit']","repository || dataset","None","//gmd:DQ_DataQuality[gmd:lineage]/gmd:scope/gmd:DQ_Scope/gmd:level/gmd:MD_ScopeCode/@codeListValue"
"platformDescription","Required","True","True","['acquisition subcategory scored because passed special logic parser']","None","FIXED PLATFORM","//gmi:MI_AcquisitionInformation//gmi:MI_Platform/gmi:description"
"coverageAttribute","Required","False","False","['no element at given xpath', 'attributes subcategory not scored because failed special logic parser (features elements scored) - now extra credit']","None","None","//gmd:contentInfo//gmd:attributeDescription"
"coverageDetails","Required","False","False","['no element at given xpath', 'attributes subcategory not scored because failed special logic parser (features elements scored) - now extra credit']","None","None","//gmd:contentInfo//gmi:rangeElementDescription/gmi:MI_RangeElementDescription | //gmd:contentInfo//gmd:dimension"
"resourceTitle","Required","True","True","[]","None","Meteorological and oceanographic data collected from the National Data Buoy Center Coastal-Marine Automated Network (C-MAN) and moored (weather) buoys","//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:title"
"resourceConstraint","Required","True","True","[]","None","accessLevel: Public || otherRestrictions || Cite as: US DOC; NOAA; NWS; National Data Buoy Center (1971). Meteorological and oceanographic data collected from the National Data Buoy Center Coastal-Marine Automated Network (C-MAN) and moored (weather) buoys. National Oceanographic Data Center, NOAA. Dataset. [access date] || otherRestrictions || NOAA and NCEI cannot provide any warranty as to the accuracy, reliability, or completeness of furnished data. Users assume responsibility to determine the usability of these data. The user is responsible for the results of any application of this data for other than its intended purpose. || Distribution liability: NOAA and NCEI make no warranty, expressed or implied, regarding these data, nor does the fact of distribution constitute such a warranty. NOAA and NCEI cannot assume liability for any damages caused by any errors or omissions in these data. If appropriate, NCEI can only certify that data it distributes are an authentic copy of the records that were accepted for inclusion in the NCEI archives.","//gmd:MD_DataIdentification/gmd:resourceConstraints"
"dataCenterKeywordThesaurus","Recommended","True","False","[]","None","Global Change Master Directory (GCMD) Data Center Keywords || NODC COLLECTING INSTITUTION NAMES THESAURUS || NODC SUBMITTING INSTITUTION NAMES THESAURUS","//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'dataCenter']/gmd:thesaurusName/gmd:CI_Citation/gmd:title"
"resourceDateType","Not Required","True","False","[]","publication || revision","None","/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date/gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode"
"resourceIdentifier","Recommended","True","False","[]","None","gov.noaa.nodc:NDBC-CMANWx","//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier/gmd:code"
"onlineResourceName","Conditional","True","False","['not scored because or rule parser']","None","NOAA National Centers for Environmental Information website || NOAA National Centers for Environmental Information website || NOAA National Centers for Environmental Information website || US DOC; NOAA; NWS; National Data Buoy Center (NDBC) website || NOAA National Centers for Environmental Information website || NASA GCMD Keyword Community Page || NASA GCMD Keyword Community Page || NASA GCMD Keyword Community Page || NASA GCMD Keyword Community Page || NASA GCMD Keyword Community Page || NASA GCMD Keyword Community Page || Handbook of Automated Data Quality Control Checks and Procedures || US DOC; NOAA; NWS; National Data Buoy Center (NDBC) website || Deep-water Field evaluation of the NDBC-SWADE 3-m discus directional buoy || An accuracy statement for meteorological measurements obtained from NDBC moored buoys || US DOC; NOAA; NWS; National Data Buoy Center (NDBC) website || US DOC; NOAA; NWS; National Data Buoy Center (NDBC) website || A field evaluation of NDBC Moored Buoy Winds || US DOC; NOAA; NWS; National Data Buoy Center (NDBC) website || Field evaluation of NDBC directional wave data || US DOC; NOAA; NWS; National Data Buoy Center (NDBC) website || Are Moored Buoy Winds Too Low in High Seas? || US DOC; NOAA; NWS; National Data Buoy Center (NDBC) website || 10.1109/JOE.1985.1145116 || A study of the differences between environmental reports by ships in the voluntary observing program and measurements from NOAA buoys || NODC Accession 0070493 || NODC F291 file format || Granule Search || NOAA Marine Environmental Buoy Database || Descriptive Information || THREDDS || OPeNDAP || HTTPS || FTP || The Scientific Data Stewardship Maturity Assessment Model Template","//gmd:CI_OnlineResource/gmd:name"
"metadataStandardName","Required","True","True","[]","None","ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data","/gmi:MI_Metadata/gmd:metadataStandardName"
"temporalExtent","Required","True","True","[]","None","1986-01-01","//gmd:MD_DataIdentification//gmd:EX_Extent/gmd:temporalElement//gmd:EX_TemporalExtent"
"granuleKeywordType","Not Required","True","False","[]","dataCenter || instrument || project || platform || theme || place","None","//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode/@codeListValue"
"featureCatalogURL","Recommended","False","False","['no element at given xpath']","None","None","//gmd:contentInfo/gmd:MD_FeatureCatalogueDescription/gmd:featureCatalogueCitation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:linkage/gmd:URL"
"crossRefName","Recommended","True","False","[]","None","Handbook of Automated Data Quality Control Checks and Procedures || Deep-water Field evaluation of the NDBC-SWADE 3-m discus directional buoy || An Accuracy Statement for Meteorological Measurements Obtained from NDBC Moored Buoys || A field evaluation of NDBC Moored Buoy Winds || Field evaluation of NDBC directional wave data || Are Moored Buoy Winds Too Low in High Seas? || Theory and Application of Calibration Techniques for an NDBC DirectionalWave Measurements Buoy || A study of the differences between environmental reports by ships in the voluntary observing program and measurements from NOAA buoys || Documentation for National Data Buoy Center (NDBC) Coastal-Marine Automated Network (C-MAN) and moored (weather) buoy data archived at NODC (NODC Accession 0070493) || File format description for meteorology, oceanography, and wave spectra data from buoys (National Oceanographic Data Center F291 format)","//gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation[gmd:associationType/gmd:DS_AssociationTypeCode/@codeListValue = 'crossReference']/gmd:aggregateDataSetName/gmd:CI_Citation/gmd:title"
"nameOfMeasure","Not Required","True","False","[]","None","Data Stewardship Maturity Assessment","//gmd:DQ_DataQuality/gmd:report//gmd:nameOfMeasure"
"platformKeywordThesaurus","Recommended","True","False","[]","None","NODC PLATFORM NAMES THESAURUS || Global Change Master Directory (GCMD) Platform Keywords || NDBC C-MAN Station/Buoy Identifiers","//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'platform']/gmd:thesaurusName/gmd:CI_Citation/gmd:title"
